term,mean,sd,median,q2_5,q97_5,rhat,ess_basic
male,1.4568384913700394,0.12667616221747743,1.4520903473847344,1.2217559273153653,1.7200769027940954,1.001676270279121,1200.0
age_6-11,0.7356164729732164,0.1569848839946703,0.7222540287581551,0.46557791439641494,1.0781845660974319,1.0006214245625458,1200.0
age_12-23,1.9035332248436514,0.32428593961528357,1.871360561254935,1.3609487313154183,2.6346778891247933,1.0002681570247443,1011.733982419846
age_24-35,2.9752139518892964,0.4941636046583232,2.9261450800996327,2.1005611563323403,4.082489804691581,1.0039892729838915,750.5448347114052
wealth_middle,0.67466094429748,0.11911312661526048,0.6697221806230993,0.4625249219103508,0.9501122074940596,1.002781533879258,1200.0
wealth_poorer,1.0545700809082703,0.13690457087633168,1.047143989102783,0.8085604796987448,1.3442522440759417,0.9989430215273707,1200.0
wealth_richer,0.6396368979503392,0.124908318668227,0.6289326614270851,0.4289184469293413,0.9112554146118998,1.0006455902591895,1041.0250321584463
wealth_richest,0.2984555960695307,0.07694772748401985,0.2909720960560437,0.17402557293760318,0.4704308072051327,1.0021372350921058,1200.0
rural,0.8644092928730546,0.1090932206801072,0.8537987149986168,0.6653143389002808,1.1036180574771197,1.0026259492753113,1200.0
water_unimproved,1.3690624407797292,0.1799743706793786,1.3597205734356574,1.0517769316405297,1.7813759694066922,0.9997799797959575,1200.0
sanitation_unimproved,1.1612855802779705,0.14034038678641717,1.158118220453804,0.9108856892007587,1.4468830308900982,1.0068119021916184,1200.0
