term,median_or,l95,u95
male,1.4992069975882745,1.2358123105546155,1.825518824141113
age_24-35,2.981399359057293,1.994944578484248,4.353702105896379
wealth_middle,0.6830552448363987,0.4774167032753235,0.9928629650084873
wealth_poorer,1.0981707120579207,0.8223326984587213,1.4472774230680707
wealth_richer,0.7110192837720901,0.473897930764192,1.1123157747185983
wealth_richest,0.3558019334041947,0.1957796762327088,0.6312507816420205
rural,0.8348983261386604,0.6405923251405786,1.100233341050387
water_unimproved,1.5038746012230413,1.1388580963847954,1.9955985357272328
sanitation_unimproved,1.110831100187505,0.8650403224050248,1.4336674764060913
maternal_education_higher,0.3766525246274925,0.1903421817882003,0.6992726974189968
maternal_education_primary,1.040323663421058,0.7694258392150641,1.4163669054238317
maternal_education_secondary,0.8955790906332152,0.6960944875418233,1.167547112289754
