term,median,q2_5,q97_5,rhat,ess_basic,model
male,1.5015904021018027,1.2515401194372433,1.830672772038027,1.0004704466781902,1200.0,model2_harm
age_24-35,2.9165564858374955,2.106013147329897,4.132962910515657,1.001413504672887,1000.1537672764766,model2_harm
wealth_middle,0.6643377467942675,0.4578667521384869,0.9379223545913256,0.9991675684715076,1171.3931730993127,model2_harm
wealth_richest,0.2580982327536565,0.1494177148469054,0.4252798603805996,1.0017568669392958,1163.4388453320964,model2_harm
rural,0.8543118628151722,0.6565203525435327,1.1345022679497931,1.001989701471021,1200.0,model2_harm
water_unimproved,1.5124994706194723,1.1626380381559618,1.9846936082337312,0.999175997289002,1200.0,model2_harm
sanitation_unimproved,1.1270339279065251,0.8652749773434163,1.4460039549463544,0.9998851313676009,1200.0,model2_harm
