term,or_median,or_l95,or_u95,rhat,ess_bulk
water_surface water,1.5181260086103827,1.1038896355175396,2.07864407312503,1.0009900190823526,2986.935769215172
water_unprotected groundwater,1.406548035978041,0.8974110958446959,2.2149111067520355,1.0020541655870692,3920.355248295273
sanitation_open defecation,1.2250774488504763,0.9187503738118924,1.6365625067464735,1.0007939021750651,2547.3296208309425
sanitation_other unimproved,0.9294704104915764,0.6756834690029169,1.308793120239915,1.0020666757203316,3192.7367947073067
maternal_education_higher,0.3810219560940266,0.1980052589605276,0.6724668690448392,1.003111307290487,3375.7610505778166
tau_community,0.3732269058099301,0.0562735420341012,0.6062286045369172,1.0265729015479093,193.55553494451456
tau_household,1.257484578596257,0.9551684097950844,1.5691834605525985,1.0053015006199482,378.271271908678
