term,mean,sd,median,q2_5,q97_5,rhat,ess_basic
male,1.5118343584549827,0.14888176031806138,1.4992069975882745,1.2358123105546155,1.825518824141113,1.0037067260759513,1200.0
age_6-11,0.7405326779797499,0.17160859615013374,0.7198989169538161,0.4611669397478456,1.1061055423301749,1.0012346989201955,932.5108686704654
age_12-23,1.9902217445431407,0.36607166724900514,1.9622276080674816,1.376714240462706,2.7727206468307606,0.9990900188379545,663.5482352344269
age_24-35,3.0133065099351444,0.5855831187104282,2.981399359057293,1.994944578484248,4.353702105896379,1.003781254827555,622.6315712772446
wealth_middle,0.6964076368228829,0.1356040231428229,0.6830552448363987,0.4774167032753235,0.9928629650084871,0.9997046827635242,1100.6080413628767
wealth_poorer,1.1041928627734547,0.15347014864198502,1.0981707120579207,0.8223326984587213,1.4472774230680707,1.002147210426593,1200.0
wealth_richer,0.7322849759995389,0.16497752811571897,0.7110192837720901,0.47389793076419207,1.1123157747185985,0.9998840508498432,948.0200982257924
wealth_richest,0.37109712618837454,0.10905664903515686,0.35580193340419475,0.19577967623270884,0.6312507816420205,1.0024684869664504,1200.0
rural,0.8446310674896207,0.11874932760073091,0.8348983261386604,0.6405923251405786,1.100233341050387,0.9994356481528263,1200.0
water_unimproved,1.514591598764726,0.21486011912317246,1.5038746012230413,1.1388580963847954,1.9955985357272328,1.0040668773186312,1200.0
sanitation_unimproved,1.1222910096147294,0.14622288690310428,1.110831100187505,0.8650403224050248,1.4336674764060913,0.9994647702777053,1200.0
maternal_education_higher,0.39402719944099546,0.13266919381163655,0.37665252462749255,0.19034218178820037,0.6992726974189968,1.0064553885811458,1200.0
maternal_education_primary,1.048292210702634,0.16405508991962506,1.040323663421058,0.7694258392150641,1.4163669054238315,0.9989422913918745,1200.0
maternal_education_secondary,0.9047574917254385,0.12322816804062206,0.8955790906332152,0.6960944875418233,1.167547112289754,1.003291546146666,1133.9831166640986
