term,mean,sd,median,q2_5,q97_5,rhat,ess_basic
male,1.4548216543344052,0.12789928069568537,1.4460925168892866,1.2310322767044761,1.718872573929954,1.00235964186913,1600.0
age_6-11,0.7521896290699259,0.1665187025755449,0.7374435778677084,0.47607898145090066,1.1339389285050592,1.0007798398278267,964.6325581050843
age_12-23,1.9199181628513662,0.33111160400406753,1.887972684881548,1.3519335237444634,2.646142826721876,1.0001121190415379,731.3967663009773
age_24-35,3.000184677622297,0.5291105247488477,2.9546022959475513,2.0986128014346384,4.199706776780724,1.0016411181310827,671.0341852173087
age_36-47,1.8258100758505025,0.32448974576729556,1.788442217817935,1.274362331599931,2.5794748695287306,1.0022190160347786,757.8074779166222
age_48-59,1.1419856573621272,0.20628581325975504,1.1279299832755785,0.7899195540118772,1.5705025527577094,0.9993859660070182,872.8581472536908
wealth_middle,0.5880460350507438,0.09872818275075441,0.579548111013731,0.41619180176216025,0.7866534279483905,0.9995955437571526,1222.4514840451625
wealth_poorer,0.9742350956197674,0.12099128913870916,0.9652347340947636,0.7583775365353224,1.2206699780817607,1.0024994105932332,1600.0
wealth_richer,0.5490385490018245,0.10131001568167675,0.5372852245761996,0.3836972194558855,0.7751619368914049,0.999315958750725,1100.5626674934817
wealth_richest,0.25038760895216156,0.05892894858251352,0.24548082784922132,0.15444985710282558,0.3829367559266372,0.9992931702207011,1600.0
rural,0.8933847505035263,0.11498276453367681,0.8876644686312569,0.6891844644095317,1.1325124822260446,1.0053579405011186,1600.0
