model,n_posterior_draws,waic,elpd_waic,p_waic,pointwise_var_gt_0_4
model2_harmonized,320,3983.296598051488,-1991.648299025744,583.9942993790645,562
model3,320,3982.6889539918393,-1991.3444769959196,573.1052588289105,542
comparison,320,-0.6076440596493917,0.30382202982469586,, 
elpd_difference_se,,,4.662884415323067,,
