term,or_median,or_l95,or_u95,rhat,ess_bulk
water_surface_water,1.518126,1.103890,2.078644,1.000990,2986.935769
water_unprotected_groundwater,1.406548,0.897411,2.214911,1.002054,3920.355248
sanitation_open_defecation,1.225077,0.918750,1.636563,1.000794,2547.329621
sanitation_other_unimproved,0.929470,0.675683,1.308793,1.002067,3192.736795
maternal_education_higher,0.381022,0.198005,0.672467,1.003111,3375.761051
tau_community,0.373227,0.056274,0.606229,1.026573,193.555535
tau_household,1.257485,0.955168,1.569183,1.005302,378.271272
