term,primary_median_or,primary_l95,primary_u95,weighted_median_or,weighted_l95,weighted_u95,weighted_p_direction
male,1.4992069975882745,1.2358123105546155,1.825518824141113,1.529433,1.215078,1.966878,1.000
age_24-35,2.981399359057293,1.994944578484248,4.353702105896379,3.451981,2.204385,5.379454,1.000
wealth_richest,0.3558019334041947,0.1957796762327088,0.6312507816420205,0.304642,0.155319,0.608626,1.000
water_unimproved,1.5038746012230413,1.1388580963847954,1.9955985357272328,1.381956,0.904790,2.070359,0.943
sanitation_unimproved,1.110831100187505,0.8650403224050248,1.4336674764060913,1.136071,0.824661,1.648553,0.776
maternal_education_higher,0.3766525246274925,0.1903421817882003,0.6992726974189968,0.307453,0.148422,0.606874,1.000
