term,median,q2_5,q97_5,mean,sd,rhat,ess_bulk,ess_tail
male,1.5047472792860213,1.2441825769177872,1.8200315784575636,1.513112421593565,0.1462212532340569,1.001412121284157,6871.36676381082,3310.6358521655743
age_24-35,2.9145020563163,2.056236842362148,4.209797042200186,2.9762348672723555,0.5594295786863527,1.00097314545843,3302.250468351988,3351.467417646212
wealth_richest,0.3606076307147468,0.1974164203819645,0.6385087693415219,0.3774861845771954,0.1141976708384039,1.000347096695137,3669.900839525005,3293.108738792788
rural,0.8454828693767265,0.6364226813355504,1.1159607363051125,0.8551260390096977,0.1218301203917455,0.9995200944587512,4860.829036893713,3356.0231008295304
water_unimproved,1.4982348756125363,1.1482654849121876,1.987153912643126,1.5185000120512615,0.2158818556722104,1.0008412826705095,5443.688784516551,3586.341519755227
sanitation_unimproved,1.1187794657312158,0.8559997613204404,1.4579758908526244,1.125855500515833,0.1534160035888779,1.0016307456661198,6097.727963608537,3493.952845795287
maternal_education_higher,0.3666449469544969,0.1971086314850389,0.648421542867178,0.3817262065404434,0.1176547185394076,1.0020679407398767,6029.814707460039,3257.881878921316
maternal_education_primary,1.0249745842560631,0.7509656402703879,1.4083552326417057,1.0370580900585031,0.1662233942097117,1.0004724697932272,5645.228938938282,3727.1348485479534
maternal_education_secondary,0.8895495298923544,0.6795084058529368,1.1431779413989718,0.8950627334200287,0.1189117874093709,1.0003939717913586,5227.302719346799,3680.057785448071
