metric,value
eligible_children,4928
stunted_unweighted,927
weighted_stunting_prevalence,0.17385025722990444
communities,616
households,3545
multi_child_households,1147
children_in_multi_child_households,2530
maternal_education_missing_n,425
maternal_education_missing_percent,8.624188
